<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20161206,121.0788,121.0788,121.0788,121.0788,3010
SAB,20161207,129.5176,129.5176,129.5176,129.5176,30
SAB,20161208,138.5068,138.5068,138.5068,138.5068,1000
SAB,20161209,138.5068,148.1381,138.5068,148.1380,3010
SAB,20161212,158.5031,158.5031,158.5031,158.5031,35690
SAB,20161213,169.5103,169.5103,169.5103,169.5103,96830
SAB,20161214,181.3430,181.3430,181.3430,181.3430,154380
SAB,20161215,194.0012,194.0012,192.6253,194.0012,380050
SAB,20161216,207.5767,207.5767,183.4527,206.3843,387520
SAB,20161219,194.4599,206.3843,194.4598,194.4598,168190
SAB,20161220,193.5425,194.0012,180.8843,180.8843,399710
SAB,20161221,180.8843,186.6631,169.6937,184.1865,241750
SAB,20161222,192.5336,192.5336,186.2045,186.2045,52460
SAB,20161223,186.2045,186.2045,180.7926,183.4527,54810
SAB,20161226,184.3839,184.3839,176.9341,183.4475,169870
SAB,20161227,183.4475,186.0549,179.8158,184.3787,69880
SAB,20161228,186.0549,186.0549,183.5406,185.2168,28530
SAB,20161229,184.3787,184.3787,179.7227,183.4475,98560
SAB,20161230,184.3787,184.3787,182.0507,184.0994,96740
SAB,20170103,184.0994,184.0994,182.4232,183.4475,63170
SAB,20170104,183.4475,184.9374,181.5851,183.4475,87490
SAB,20170105,183.4475,184.3787,182.5163,183.5407,27170
SAB,20170106,184.2857,195.4601,183.6338,191.8284,212390
SAB,20170109,191.8284,193.6908,190.8972,190.8972,31390
SAB,20170110,192.6665,192.6665,187.6380,190.4316,44540
SAB,20170111,189.9660,195.5532,188.1036,195.5532,228480
SAB,20170112,198.3468,198.3468,195.5532,196.1119,55290
SAB,20170113,196.2050,197.6018,196.1119,197.2294,37670
SAB,20170116,196.4844,196.4844,193.6908,194.6220,33890
SAB,20170117,194.1564,202.4441,193.7839,201.6060,113760
SAB,20170118,200.4886,209.5212,200.4886,208.4038,103480
SAB,20170119,209.5212,209.5212,204.8652,208.4038,40040
SAB,20170120,207.6588,209.6144,207.6588,208.4038,77940
SAB,20170123,208.4038,208.4038,205.3308,206.7277,44360
SAB,20170124,204.8653,208.5901,204.8653,206.7277,137100
SAB,20170125,206.7277,208.4039,204.8653,208.4038,18800
SAB,20170202,208.4969,208.4969,203.9340,203.9341,18560
SAB,20170203,202.4442,207.5658,201.5130,202.0716,51700
SAB,20170206,204.3996,204.3996,196.9500,200.2092,50070
SAB,20170207,200.2092,204.8652,198.3468,201.1404,76580
SAB,20170208,201.1404,202.0716,200.2092,200.4886,36350
SAB,20170209,200.4886,200.4886,193.6908,196.4844,150070
SAB,20170210,196.4844,199.2780,196.4844,198.5331,35880
SAB,20170213,198.5331,199.9299,195.5532,198.7193,25240
SAB,20170214,198.7193,201.9785,198.4399,201.1404,72220
SAB,20170215,201.1404,201.1404,198.1605,199.1849,84300
SAB,20170216,199.2780,201.1404,199.2780,200.5817,44230
SAB,20170217,200.2092,200.2092,199.2780,199.9299,34430
SAB,20170220,198.6262,203.0029,198.5331,203.0029,103930
SAB,20170221,202.6304,204.8653,202.6304,204.4928,34930
SAB,20170222,204.3997,209.0557,204.3997,208.8694,100360
SAB,20170223,209.4281,211.3837,208.5900,211.3837,130020
SAB,20170224,212.3149,214.1773,210.4525,211.3837,107840
SAB,20170227,209.0557,212.2218,208.5901,209.6144,61270
SAB,20170228,209.9869,210.6387,209.6144,209.6144,50720
SAB,20170301,210.4525,210.4525,209.5213,210.3594,69440
SAB,20170302,211.3837,211.3837,204.1203,209.4282,30250
SAB,20170303,207.6589,209.8938,205.7965,209.8938,20670
SAB,20170306,209.5213,209.9869,206.7277,209.0557,32990
SAB,20170307,209.4282,209.5213,207.2864,207.2864,35720
SAB,20170308,207.2864,207.2864,203.3753,203.8409,14120
SAB,20170309,201.2335,205.7964,197.4156,201.1404,56450
SAB,20170310,201.1404,201.1404,196.4844,196.4844,17550
SAB,20170313,196.4844,196.4844,192.2009,192.7596,30560
SAB,20170314,192.7596,202.0717,189.2210,199.2780,54260
SAB,20170315,199.2780,200.2092,196.4844,197.0431,13250
SAB,20170316,197.0431,199.2780,191.3627,198.2537,7450
SAB,20170317,198.2537,198.2537,193.6908,193.6908,14250
SAB,20170320,193.6908,195.4601,193.6908,194.6220,7670
SAB,20170321,194.6220,194.6220,190.7109,191.0834,61100
SAB,20170322,191.0834,191.7352,186.7067,189.0348,42630
SAB,20170323,188.3830,190.7110,186.7068,188.1036,20840
SAB,20170324,188.1036,188.1967,185.4031,186.2411,101770
SAB,20170327,186.2411,186.7067,185.3099,186.2411,25830
SAB,20170328,187.1723,188.1035,185.3099,185.3099,55080
SAB,20170329,184.4718,190.8971,184.3787,186.2411,35850
